Period number, Room Temperature, Heater status, Outside temperature
0, 20.00, on, 18.0
1, 20.50, on, 18.0
2, 20.98, on, 18.0
3, 21.43, on, 18.0
4, 21.85, on, 18.0
5, 22.26, on, 18.0
6, 22.65, on, 18.0
7, 23.02, on, 18.0
8, 23.37, on, 18.0
9, 23.70, on, 18.0
10, 24.01, off, 18.0
11, 23.71, off, 18.0
12, 23.43, off, 18.0
13, 23.16, off, 18.0
14, 22.90, off, 18.0
15, 22.65, off, 18.0
16, 22.42, off, 18.0
17, 22.20, off, 18.0
18, 21.99, on, 18.0
19, 22.39, on, 18.0
20, 22.77, on, 18.0
21, 23.13, on, 18.0
22, 23.47, on, 18.0
23, 23.80, on, 18.0
24, 24.11, off, 18.0
25, 23.81, off, 18.0
26, 23.52, off, 18.0
27, 23.24, off, 18.0
28, 22.98, off, 18.0
29, 22.73, off, 18.0
30, 22.49, off, 18.0
31, 22.27, off, 18.0
32, 22.05, off, 18.0
33, 21.85, on, 18.0
34, 22.26, on, 18.0
35, 22.65, on, 18.0
36, 23.01, on, 18.0
37, 23.36, on, 18.0
38, 23.69, on, 18.0
39, 24.01, off, 18.0
40, 23.71, off, 18.0
41, 23.42, off, 18.0
42, 23.15, off, 18.0
43, 22.90, off, 18.0
44, 22.65, off, 18.0
45, 22.42, off, 18.0
46, 22.20, off, 18.0
47, 21.99, on, 18.0
48, 22.39, on, 18.0
49, 22.77, on, 18.0
50, 23.13, on, 18.0
51, 23.47, on, 18.0
52, 23.80, on, 18.0
53, 24.11, off, 18.0
54, 23.80, off, 18.0
55, 23.51, off, 18.0
56, 23.24, off, 18.0
57, 22.98, off, 18.0
58, 22.73, off, 18.0
59, 22.49, off, 18.0
60, 22.27, off, 18.0
61, 22.05, off, 18.0
62, 21.85, on, 18.0
63, 22.26, on, 18.0
64, 22.65, on, 18.0
65, 23.01, on, 18.0
66, 23.36, on, 18.0
67, 23.69, on, 18.0
68, 24.01, off, 18.0
69, 23.71, off, 18.0
70, 23.42, off, 18.0
71, 23.15, off, 18.0
72, 22.89, off, 18.0
73, 22.65, off, 18.0
74, 22.42, off, 18.0
75, 22.20, off, 18.0
76, 21.99, on, 18.0
77, 22.39, on, 18.0
78, 22.77, on, 18.0
79, 23.13, on, 18.0
80, 23.47, on, 18.0
81, 23.80, on, 18.0
82, 24.11, off, 18.0
83, 23.80, off, 18.0
84, 23.51, off, 18.0
85, 23.24, off, 18.0
86, 22.98, off, 18.0
87, 22.73, off, 18.0
88, 22.49, off, 18.0
89, 22.27, off, 18.0
90, 22.05, off, 18.0
91, 21.85, on, 18.0
92, 22.26, on, 18.0
93, 22.65, on, 18.0
94, 23.01, on, 18.0
95, 23.36, on, 18.0
96, 23.69, on, 18.0
97, 24.01, off, 18.0
98, 23.71, off, 18.0
99, 23.42, off, 18.0
